round,region,country,country_in_filter,year,status,dataset.status,dataset.url,archive,extra_info,report_url
MICS3,Europe and Central Asia,Kazakhstan,Kazakhstan,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Kazakhstan/2006/Datasets/Kazakhstan%202006%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Kazakhstan/2006/Archive/kazakhstan-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Kazakhstan/2006/Final/Kazakhstan%202006%20MICS_English.pdf
MICS3,Europe and Central Asia,Kyrgyzstan,Kyrgyzstan,2005-2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Kyrgyzstan/2005-2006/Datasets/Kyrgyzstan%202005-06%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Kyrgyzstan/2005-2006/Archive/kyrgyzstan-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Kyrgyzstan/2005-2006/Final/Kyrgyzstan%202005-06%20MICS_English.pdf
MICS3,Europe and Central Asia,Montenegro,Montenegro,2005-2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Montenegro/2005-2006/Datasets/Montenegro%202005-06%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Montenegro/2005-2006/Archive/montenegro-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Montenegro/2005-2006/Final/Montenegro%202005-06%20MICS_English.pdf
MICS3,Europe and Central Asia,"North Macedonia, Republic of","North Macedonia, Republic of",2005-2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/North%20Macedonia%2C%20Republic%20of/2005-2006/Datasets/Macedonia%202005-06%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/North%20Macedonia%2C%20Republic%20of/2005-2006/Archive/macedonia-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/North%20Macedonia%2C%20Republic%20of/2005-2006/Final/Macedonia%202005%20MICS_English.pdf
MICS3,Europe and Central Asia,Serbia,Serbia,2005-2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Serbia/2005-2006/Datasets/Serbia%202005-06%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Serbia/2005-2006/Archive/serbia-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Serbia/2005-2006/Final/Serbia%202005-06%20MICS_English.pdf
MICS3,Europe and Central Asia,Tajikistan,Tajikistan,2005,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Tajikistan/2005/Datasets/Tajikistan%202005%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Tajikistan/2005/Archive/tajikistan-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Tajikistan/2005/Final/Tajikistan%202005%20MICS_English.pdf
MICS3,Europe and Central Asia,Turkmenistan,Turkmenistan,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Turkmenistan/2006/Datasets/Turkmenistan%202006%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Turkmenistan/2006/Final/Turkmenistan%202006%20MICS_English.pdf
MICS3,Europe and Central Asia,Ukraine,Ukraine,2005,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Ukraine/2005/Datasets/Ukraine%202005%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Ukraine/2005/Archive/ukraine-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Ukraine/2005/Final/Ukraine%202005%20MICS_English.zip
MICS3,Europe and Central Asia,Uzbekistan,Uzbekistan,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Uzbekistan/2006/Datasets/Uzbekistan%202006%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Uzbekistan/2006/Archive/uzbekistan-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Uzbekistan/2006/Final/Uzbekistan%202006%20MICS_English.pdf
MICS3,Latin America and Caribbean,Belize,Belize,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Latin%20America%20and%20Caribbean/Belize/2006/Datasets/Belize%202006%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Latin%20America%20and%20Caribbean/Belize/2006/Final/Belize%202006%20MICS_English.zip
