iso3,poverty_line,poor,nonpoor,HeadCount
URY,1.9,3566.79069864,3490820.20930136,0.00102072
URY,3.2,18803.6458857,3475583.3541143,0.0053811
URY,5.5,130992.61782646,3363394.38217354,0.03748658
USA,1.9,3313625.63097775,328117908.369022,0.009997919
USA,3.2,4141362.96131292,327290171.038687,0.01249538
USA,5.5,5799060.86471334,325632473.135287,0.01749701
UZB,1.9,3442460.39886,29793364.60114,0.1035768
UZB,3.2,12371364.492585,20864460.507415,0.3722298
UZB,5.5,24732236.4352175,8503588.5647825,0.7441439
VEN,1.9,10368193.6643208,22804198.3356792,0.3125549
VEN,3.2,18933437.9682888,14238954.0317112,0.5707589
VEN,5.5,26913640.697988,6258751.302012,0.8113265
VNM,1.9,1232552.9441979,97127592.0558021,0.01253102
VNM,3.2,5260294.6529913,93099850.3470087,0.05347994
VNM,5.5,18553251.2027265,79806893.7972735,0.1886257
VUT,1.9,51401.120382,242532.879618,0.174873
VUT,3.2,136247.5797408,157686.4202592,0.4635312
VUT,5.5,227264.5073814,66669.4926186,0.7731821
WSM,1.9,1208.630235306,198908.369764694,0.006039618
WSM,3.2,15162.30676357,184954.69323643,0.07576721
WSM,5.5,57430.0769525,142686.9230475,0.2869825
