iso3,hazard_class,IndicatorScore,disb,Location,PopTotal,per_cap
MWI,Medium,4.5,12.47048111,Malawi,19129.955,0.651882406937183
MYS,High,4.9,0.97235676,Malaysia,32365.998,0.0300425390868528
NAM,Medium,4.3,0.1145611,Namibia,2540.916,0.0450865357217633
NER,Medium,4.5,24.02248849,Niger,24206.636,0.992392684799325
NGA,Medium,4,43.64616726,Nigeria,206139.587,0.211731127898301
NIC,High,6.6,5.02134744,Nicaragua,6624.554,0.757990264703103
NPL,High,5.8,73.9971425481,Nepal,29136.808,2.53964478703707
NRU,Medium,2.8,0.3033043,Nauru,10.834,27.9955971940188
PAK,Very High,7.4,90.403496381,Pakistan,220892.331,0.409264984310388
PAN,High,6.2,0.4959817,Panama,4314.768,0.11494979567847
PER,Very High,7.1,8.710611745,Peru,32971.846,0.264183320066459
PHL,Very High,8.4,69.8759922,Philippines,109581.085,0.637664722885341
PLW,Medium,3.2,0.28138167,Palau,18.092,15.5528227946054
PNG,High,6.7,4.243900251,Papua New Guinea,8947.027,0.474336363464646
PRK,High,5.2,1.90241529,Dem. People's Republic of Korea,25778.815,0.0737976237464756
PRY,Low,2.6,1.85394339,Paraguay,7132.53,0.259927878326484
PSE,Medium,3.1,2.3817499,State of Palestine,5101.416,0.466880156411475
RWA,Medium,3.5,7.5711402,Rwanda,12952.209,0.584544319814481
SDN,Medium,4.2,4.350994035,Sudan,43849.269,0.0992261475328129
SEN,Medium,4.5,17.6504391964,Senegal,16743.93,1.05413957155817
SLB,High,5.8,1.16771299,Solomon Islands,686.878,1.70002968503868
SLE,Medium,3.9,1.2856917,Sierra Leone,7976.985,0.161175143240209
SLV,High,6.5,8.696876741518,El Salvador,6486.201,1.34082751082151
SOM,Very High,6.9,60.05071841,Somalia,15893.219,3.77838614128453
SRB,Medium,4.5,14.172916961,Serbia,8737.37,1.62210332869044
SSD,Medium,4,27.33510373,South Sudan,11193.729,2.44200156444738
STP,Low,1.3,0.379914074,Sao Tome and Principe,219.161,1.73349306674089
SUR,Medium,3.9,0.42044,Suriname,586.634,0.716698998012389
SWZ,Low,2.5,0,Eswatini,1160.164,0
SYR,High,5.7,32.468090004,Syrian Arab Republic,17500.657,1.85524977742264
TCD,Medium,4.2,12.01754094,Chad,16425.859,0.73162328618552
TGO,Medium,3,1.513811,Togo,8278.737,0.182855307518526
THA,High,6.2,1.97256051,Thailand,69799.978,0.0282601881335837
TJK,High,5.8,15.55837425,Tajikistan,9537.642,1.63126003785841
TKM,Medium,3.7,1.1970523,Turkmenistan,6031.187,0.198477065957331
TLS,Medium,4.6,9.7200961606,Timor-Leste,1318.442,7.37241089149162
TON,High,5.2,9.36192556,Tonga,105.697,88.5732382186817
TUN,Medium,4.4,8.70650762,Tunisia,11818.618,0.73667730186389
TUR,High,6.2,0.1917606,Turkey,84339.067,0.00227368652299651
TUV,Medium,3,5.25778886,Tuvalu,11.792,445.877617028494
